#Flips,1B,2A,1B-CT,1B-CH,2A-CT,2A-CH
1,1,0,1,0,0,1
2,0,1,1,1,1,1
3,1,0,2,1,1,2
4,1,1,3,1,2,2
5,0,1,3,2,3,2
6,0,0,3,3,3,3
7,0,1,3,4,4,3
8,1,0,4,4,4,4
9,1,1,5,4,5,4
10,1,1,6,4,6,4
11,0,1,6,5,7,4
12,1,0,7,5,7,5
13,1,0,8,5,7,6
14,1,0,9,5,7,7
15,1,1,10,5,8,7
16,0,0,10,6,8,8
17,1,0,11,6,8,9
18,0,1,11,7,9,9
19,0,1,11,8,10,9
20,0,0,11,9,10,10
21,1,1,12,9,11,10
22,0,1,12,10,12,10
23,1,0,13,10,12,11
24,1,1,14,10,13,11
25,1,1,15,10,14,11
26,1,0,16,10,14,12
27,1,1,17,10,15,12
28,0,0,17,11,15,13
29,0,0,17,12,15,14
30,1,0,18,12,15,15
31,1,1,19,12,16,15
32,0,0,19,13,16,16
33,0,1,19,14,17,16
34,1,1,20,14,18,16
35,0,1,20,15,19,16
36,1,0,21,15,19,17
37,0,0,21,16,19,18
38,0,1,21,17,20,18
39,1,1,22,17,21,18
40,1,1,23,17,22,18
41,0,0,23,18,22,19
42,0,1,23,19,23,19
43,0,0,23,20,23,20
44,0,0,23,21,23,21
45,0,1,23,22,24,21
46,0,0,23,23,24,22
47,0,0,23,24,24,23
48,1,1,24,24,25,23
49,0,0,24,25,25,24
50,1,1,25,25,26,24
51,1,1,26,25,27,24
52,0,1,26,26,28,24
53,0,1,26,27,29,24
54,0,0,26,28,29,25
55,1,0,27,28,29,26
56,1,0,28,28,29,27
57,1,1,29,28,30,27
58,0,1,29,29,31,27
59,1,1,30,29,32,27
60,1,0,31,29,32,28
61,0,1,31,30,33,28
62,1,1,32,30,34,28
63,0,0,32,31,34,29
64,0,0,32,32,34,30
65,0,0,32,33,34,31
66,1,0,33,33,34,32
67,0,1,33,34,35,32
68,0,0,33,35,35,33
69,0,0,33,36,35,34
70,0,1,33,37,36,34
71,1,1,34,37,37,34
72,0,1,34,38,38,34
73,1,0,35,38,38,35
74,0,1,35,39,39,35
75,0,0,35,40,39,36
76,0,1,35,41,40,36
77,1,1,36,41,41,36
78,0,1,36,42,42,36
79,1,1,37,42,43,36
80,0,0,37,43,43,37
81,1,0,38,43,43,38
82,1,1,39,43,44,38
83,0,0,39,44,44,39
84,1,0,40,44,44,40
85,0,1,40,45,45,40
86,1,0,41,45,45,41
87,1,0,42,45,45,42
88,1,0,43,45,45,43
89,1,1,44,45,46,43
90,1,1,45,45,47,43
91,1,1,46,45,48,43
92,1,1,47,45,49,43
93,1,0,48,45,49,44
94,0,0,48,46,49,45
95,0,0,48,47,49,46
96,1,1,49,47,50,46
97,0,1,49,48,51,46
98,0,1,49,49,52,46
99,1,1,50,49,53,46
100,0,1,50,50,54,46
