#Toss,5B-H,5B-T,5B-CH,5B-CT,5A-H,5A-T,5A-CH,5A-CT
1,1,0,1,0,0,1,0,1
2,1,0,2,0,0,1,0,2
3,1,0,3,0,0,1,0,3
4,0,1,3,1,0,1,0,4
5,1,0,4,1,0,1,0,5
6,0,1,4,2,0,1,0,6
7,0,1,4,3,0,1,0,7
8,1,0,5,3,1,0,1,7
9,0,1,5,4,1,0,2,7
10,0,1,5,5,0,1,2,8
11,1,0,6,5,1,0,3,8
12,0,1,6,6,1,0,4,8
13,1,0,7,6,0,1,4,9
14,0,1,7,7,1,0,5,9
15,0,1,7,8,1,0,6,9
16,0,1,7,9,0,1,6,10
17,0,1,7,10,1,0,7,10
18,1,0,8,10,1,0,8,10
19,0,1,8,11,0,1,8,11
20,1,0,9,11,1,0,9,11
21,1,0,10,11,1,0,10,11
22,0,1,10,12,1,0,11,11
23,0,1,10,13,0,1,11,12
24,1,0,11,13,0,1,11,13
25,1,0,12,13,1,0,12,13
26,0,1,12,14,0,1,12,14
27,1,0,13,14,1,0,13,14
28,1,0,14,14,1,0,14,14
29,0,1,14,15,1,0,15,14
30,1,0,15,15,0,1,15,15
31,1,0,16,15,1,0,16,15
32,1,0,17,15,0,1,16,16
33,0,1,17,16,1,0,17,16
34,0,1,17,17,1,0,18,16
35,1,0,18,17,0,1,18,17
36,0,1,18,18,1,0,19,17
37,0,1,18,19,1,0,20,17
38,1,0,19,19,0,1,20,18
39,0,1,19,20,1,0,21,18
40,0,1,19,21,0,1,21,19
41,0,1,19,22,0,1,21,20
42,1,0,20,22,1,0,22,20
43,1,0,21,22,0,1,22,21
44,1,0,22,22,1,0,23,21
45,1,0,23,22,0,1,23,22
46,1,0,24,22,1,0,24,22
47,0,1,24,23,1,0,25,22
48,1,0,25,23,0,1,25,23
49,0,1,25,24,0,1,25,24
50,1,0,26,24,1,0,26,24
51,0,1,26,25,1,0,27,24
52,1,0,27,25,0,1,27,25
53,1,0,28,25,1,0,28,25
54,1,0,29,25,0,1,28,26
55,1,0,30,25,1,0,29,26
56,0,1,30,26,0,1,29,27
57,0,1,30,27,0,1,29,28
58,0,1,30,28,0,1,29,29
59,0,1,30,29,0,1,29,30
60,0,1,30,30,1,0,30,30
61,0,1,30,31,1,0,31,30
62,1,0,31,31,1,0,32,30
63,1,0,32,31,1,0,33,30
64,0,1,32,32,0,1,33,31
65,1,0,33,32,1,0,34,31
66,1,0,34,32,1,0,35,31
67,1,0,35,32,0,1,35,32
68,1,0,36,32,0,1,35,33
69,0,1,36,33,0,1,35,34
70,1,0,37,33,0,1,35,35
71,0,1,37,34,1,0,36,35
72,1,0,38,34,0,1,36,36
73,0,1,38,35,1,0,37,36
74,1,0,39,35,0,1,37,37
75,1,0,40,35,1,0,38,37
76,1,0,41,35,0,1,38,38
77,1,0,42,35,1,0,39,38
78,0,1,42,36,1,0,40,38
79,1,0,43,36,1,0,41,38
80,1,0,44,36,1,0,42,38
81,0,1,44,37,1,0,43,38
82,1,0,45,37,0,1,43,39
83,1,0,46,37,0,1,43,40
84,0,1,46,38,1,0,44,40
85,0,1,46,39,1,0,45,40
86,1,0,47,39,1,0,46,40
87,1,0,48,39,0,1,46,41
88,1,0,49,39,0,1,46,42
89,1,0,50,39,1,0,47,42
90,0,1,50,40,1,0,48,42
91,0,1,50,41,1,0,49,42
92,0,1,50,42,0,1,49,43
93,0,1,50,43,1,0,50,43
94,0,1,50,44,0,1,50,44
95,1,0,51,44,1,0,51,44
96,0,1,51,45,0,1,51,45
97,0,1,51,46,0,1,51,46
98,0,1,51,47,1,0,52,46
99,0,1,51,48,1,0,53,46
100,1,0,52,48,1,0,54,46
