#Toss,1A-H,1A-T,1A-CH,1A-CT,10A-H,10A-T,10A-CH,10A-CT
1,1,0,1,0,0,1,0,1
2,1,0,2,0,0,1,0,2
3,1,0,3,0,0,1,0,3
4,0,1,3,1,1,0,1,3
5,1,0,4,1,0,1,1,4
6,1,0,5,1,0,1,1,5
7,1,0,6,1,0,1,1,6
8,0,1,6,2,1,0,2,6
9,1,0,7,2,0,1,2,7
10,1,0,8,2,0,1,2,8
11,1,0,9,2,0,1,2,9
12,1,0,10,2,0,1,2,10
13,1,0,11,2,0,1,2,11
14,1,0,12,2,0,1,2,12
15,0,1,12,3,1,0,3,12
16,0,1,12,4,1,0,4,12
17,0,1,12,5,1,0,5,12
18,1,0,13,5,0,1,5,13
19,1,0,14,5,0,1,5,14
20,1,0,15,5,0,1,5,15
21,0,1,15,6,1,0,6,15
22,1,0,16,6,0,1,6,16
23,1,0,17,6,0,1,6,17
24,1,0,18,6,0,1,6,18
25,1,0,19,6,0,1,6,19
26,1,0,20,6,0,1,6,20
27,1,0,21,6,0,1,6,21
28,0,1,21,7,1,0,7,21
29,0,1,21,8,1,0,8,21
30,0,1,21,9,1,0,9,21
31,1,0,22,9,0,1,9,22
32,0,1,22,10,1,0,10,22
33,0,1,22,11,1,0,11,22
34,1,0,23,11,0,1,11,23
35,0,1,23,12,1,0,12,23
36,0,1,23,13,1,0,13,23
37,0,1,23,14,1,0,14,23
38,0,1,23,15,1,0,15,23
39,1,0,24,15,0,1,15,24
40,0,1,24,16,1,0,16,24
41,1,0,25,16,0,1,16,25
42,0,1,25,17,1,0,17,25
43,1,0,26,17,0,1,17,26
44,0,1,26,18,1,0,18,26
45,1,0,27,18,0,1,18,27
46,0,1,27,19,1,0,19,27
47,1,0,28,19,0,1,19,28
48,0,1,28,20,1,0,20,28
49,0,1,28,21,1,0,21,28
50,1,0,29,21,0,1,21,29
51,0,1,29,22,1,0,22,29
52,0,1,29,23,1,0,23,29
53,1,0,30,23,0,1,23,30
54,0,1,30,24,1,0,24,30
55,0,1,30,25,1,0,25,30
56,0,1,30,26,1,0,26,30
57,0,1,30,27,1,0,27,30
58,1,0,31,27,0,1,27,31
59,0,1,31,28,1,0,28,31
60,1,0,32,28,0,1,28,32
61,1,0,33,28,0,1,28,33
62,1,0,34,28,0,1,28,34
63,1,0,35,28,0,1,28,35
64,1,0,36,28,0,1,28,36
65,1,0,37,28,0,1,28,37
66,0,1,37,29,1,0,29,37
67,0,1,37,30,1,0,30,37
68,0,1,37,31,1,0,31,37
69,0,1,37,32,1,0,32,37
70,0,1,37,33,1,0,33,37
71,1,0,38,33,0,1,33,38
72,1,0,39,33,0,1,33,39
73,0,1,39,34,1,0,34,39
74,0,1,39,35,1,0,35,39
75,0,1,39,36,1,0,36,39
76,1,0,40,36,0,1,36,40
77,0,1,40,37,1,0,37,40
78,1,0,41,37,0,1,37,41
79,1,0,42,37,0,1,37,42
80,1,0,43,37,0,1,37,43
81,0,1,43,38,1,0,38,43
82,0,1,43,39,1,0,39,43
83,0,1,43,40,1,0,40,43
84,1,0,44,40,0,1,40,44
85,1,0,45,40,0,1,40,45
86,0,1,45,41,0,1,40,46
87,0,1,45,42,1,0,41,46
88,0,1,45,43,1,0,42,46
89,0,1,45,44,0,1,42,47
90,0,1,45,45,1,0,43,47
91,1,0,46,45,0,1,43,48
92,1,0,47,45,0,1,43,49
93,1,0,48,45,1,0,44,49
94,0,1,48,46,1,0,45,49
95,0,1,48,47,0,1,45,50
96,0,1,48,48,1,0,46,50
97,0,1,48,49,0,1,46,51
98,0,1,48,50,1,0,47,51
99,1,0,49,50,0,1,47,52
100,0,1,49,51,1,0,48,52
