#Toss,1A-H,1A-T,20B-H,20B-T,H,T
1,0,1,0,1,0,2
2,0,1,1,0,1,3
3,0,1,1,0,2,4
4,1,0,1,0,4,4
5,1,0,1,0,6,4
6,1,0,1,0,8,4
7,1,0,0,1,9,5
8,1,0,1,0,11,5
9,0,1,1,0,12,6
10,1,0,1,0,14,6
11,1,0,0,1,15,7
12,0,1,0,1,15,9
13,0,1,1,0,16,10
14,0,1,1,0,17,11
15,1,0,0,1,18,12
16,0,1,1,0,19,13
17,1,0,1,0,21,13
18,0,1,0,1,21,15
19,0,1,0,1,21,17
20,0,1,0,1,21,19
21,0,1,1,0,22,20
22,1,0,0,1,23,21
23,1,0,0,1,24,22
24,0,1,0,1,24,24
25,1,0,0,1,25,25
26,1,0,0,1,26,26
27,1,0,0,1,27,27
28,0,1,1,0,28,28
29,1,0,0,1,29,29
30,0,1,0,1,29,31
31,1,0,1,0,31,31
32,0,1,0,1,31,33
33,0,1,0,1,31,35
34,0,1,1,0,32,36
35,1,0,1,0,34,36
36,0,1,1,0,35,37
37,1,0,0,1,36,38
38,1,0,1,0,38,38
39,0,1,0,1,38,40
40,0,1,0,1,38,42
41,0,1,1,0,39,43
42,1,0,0,1,40,44
43,0,1,1,0,41,45
44,1,0,1,0,43,45
45,1,0,0,1,44,46
46,0,1,1,0,45,47
47,0,1,0,1,45,49
48,0,1,1,0,46,50
49,0,1,0,1,46,52
50,0,1,1,0,47,53
51,1,0,0,1,48,54
52,0,1,1,0,49,55
53,1,0,1,0,51,55
54,0,1,1,0,52,56
55,0,1,1,0,53,57
56,1,0,1,0,55,57
57,1,0,1,0,57,57
58,0,1,1,0,58,58
59,1,0,1,0,60,58
60,1,0,1,0,62,58
61,0,1,1,0,63,59
62,0,1,1,0,64,60
63,0,1,1,0,65,61
64,1,0,1,0,67,61
65,1,0,1,0,69,61
66,1,0,0,1,70,62
67,0,1,0,1,70,64
68,0,1,0,1,70,66
69,1,0,0,1,71,67
70,1,0,1,0,73,67
71,1,0,1,0,75,67
72,0,1,0,1,75,69
73,1,0,0,1,76,70
74,0,1,1,0,77,71
75,0,1,1,0,78,72
76,0,1,1,0,79,73
77,0,1,0,1,79,75
78,0,1,0,1,79,77
79,0,1,0,1,79,79
80,0,1,0,1,79,81
81,0,1,0,1,79,83
82,0,1,1,0,80,84
83,1,0,0,1,81,85
84,1,0,0,1,82,86
85,0,1,1,0,83,87
86,0,1,1,0,84,88
87,1,0,0,1,85,89
88,0,1,0,1,85,91
89,1,0,1,0,87,91
90,1,0,1,0,89,91
91,0,1,0,1,89,93
92,0,1,1,0,90,94
93,0,1,1,0,91,95
94,1,0,1,0,93,95
95,0,1,0,1,93,97
96,0,1,1,0,94,98
97,0,1,0,1,94,100
98,1,0,1,0,96,100
99,0,1,1,0,97,101
100,0,1,1,0,98,102
