#Toss,1A-H,1A-T,1A-CH,1A-CT,1B-H,1B-T,1B-CH,1B-CT
1,0,1,0,1,1,0,1,0
2,1,0,1,1,1,0,2,0
3,0,1,1,2,0,1,2,1
4,1,0,2,2,1,0,3,1
5,1,0,3,2,0,1,3,2
6,1,0,4,2,0,1,3,3
7,1,0,5,2,1,0,4,3
8,0,1,5,3,0,1,4,4
9,1,0,6,3,1,0,5,4
10,0,1,6,4,0,1,5,5
11,1,0,7,4,0,1,5,6
12,0,1,7,5,0,1,5,7
13,1,0,8,5,1,0,6,7
14,1,0,9,5,0,1,6,8
15,0,1,9,6,1,0,7,8
16,1,0,10,6,1,0,8,8
17,1,0,11,6,0,1,8,9
18,1,0,12,6,0,1,8,10
19,0,1,12,7,0,1,8,11
20,1,0,13,7,0,1,8,12
21,1,0,14,7,0,1,8,13
22,1,0,15,7,1,0,9,13
23,0,1,15,8,0,1,9,14
24,0,1,15,9,1,0,10,14
25,1,0,16,9,1,0,11,14
26,1,0,17,9,1,0,12,14
27,1,0,18,9,1,0,13,14
28,1,0,19,9,0,1,13,15
29,1,0,20,9,1,0,14,15
30,1,0,21,9,1,0,15,15
31,1,0,22,9,0,1,15,16
32,0,1,22,10,1,0,16,16
33,1,0,23,10,0,1,16,17
34,1,0,24,10,0,1,16,18
35,1,0,25,10,0,1,16,19
36,0,1,25,11,1,0,17,19
37,0,1,25,12,0,1,17,20
38,1,0,26,12,1,0,18,20
39,1,0,27,12,0,1,18,21
40,0,1,27,13,1,0,19,21
41,0,1,27,14,1,0,20,21
42,0,1,27,15,1,0,21,21
43,1,0,28,15,0,1,21,22
44,0,1,28,16,0,1,21,23
45,0,1,28,17,0,1,21,24
46,1,0,29,17,0,1,21,25
47,1,0,30,17,0,1,21,26
48,1,0,31,17,1,0,22,26
49,1,0,32,17,0,1,22,27
50,0,1,32,18,0,1,22,28
51,1,0,33,18,1,0,23,28
52,0,1,33,19,0,1,23,29
53,0,1,33,20,0,1,23,30
54,1,0,34,20,1,0,24,30
55,0,1,34,21,0,1,24,31
56,0,1,34,22,1,0,25,31
57,1,0,35,22,0,1,25,32
58,0,1,35,23,0,1,25,33
59,1,0,36,23,1,0,26,33
60,1,0,37,23,0,1,26,34
61,0,1,37,24,1,0,27,34
62,0,1,37,25,0,1,27,35
63,0,1,37,26,0,1,27,36
64,1,0,38,26,0,1,27,37
65,0,1,38,27,0,1,27,38
66,1,0,39,27,0,1,27,39
67,1,0,40,27,0,1,27,40
68,1,0,41,27,1,0,28,40
69,0,1,41,28,0,1,28,41
70,0,1,41,29,1,0,29,41
71,0,1,41,30,0,1,29,42
72,1,0,42,30,1,0,30,42
73,0,1,42,31,1,0,31,42
74,0,1,42,32,1,0,32,42
75,0,1,42,33,1,0,33,42
76,1,0,43,33,0,1,33,43
77,0,1,43,34,1,0,34,43
78,1,0,44,34,0,1,34,44
79,1,0,45,34,0,1,34,45
80,0,1,45,35,0,1,34,46
81,1,0,46,35,0,1,34,47
82,1,0,47,35,0,1,34,48
83,0,1,47,36,1,0,35,48
84,1,0,48,36,1,0,36,48
85,1,0,49,36,1,0,37,48
86,1,0,50,36,1,0,38,48
87,0,1,50,37,1,0,39,48
88,1,0,51,37,0,1,39,49
89,1,0,52,37,1,0,40,49
90,1,0,53,37,0,1,40,50
91,1,0,54,37,0,1,40,51
92,1,0,55,37,1,0,41,51
93,0,1,55,38,0,1,41,52
94,1,0,56,38,0,1,41,53
95,1,0,57,38,0,1,41,54
96,0,1,57,39,0,1,41,55
97,1,0,58,39,0,1,41,56
98,0,1,58,40,1,0,42,56
99,1,0,59,40,0,1,42,57
100,0,1,59,41,1,0,43,57
