#Toss,5B-H,5B-T,5B-CH,5B-CT,20B-H,20B-T,20B-CH,20B-CT,H,T,CH,CT
1,1,0,1,0,0,1,0,1,1,1,1,1
2,1,0,2,0,0,1,0,2,1,1,2,2
3,1,0,3,0,1,0,1,2,2,0,4,2
4,0,1,3,1,1,0,2,2,1,1,5,3
5,1,0,4,1,0,1,2,3,1,1,6,4
6,1,0,5,1,0,1,2,4,1,1,7,5
7,0,1,5,2,0,1,2,5,0,2,7,7
8,1,0,6,2,1,0,3,5,2,0,9,7
9,0,1,6,3,0,1,3,6,0,2,9,9
10,1,0,7,3,1,0,4,6,2,0,11,9
11,1,0,8,3,1,0,5,6,2,0,13,9
12,0,1,8,4,0,1,5,7,0,2,13,11
13,0,1,8,5,0,1,5,8,0,2,13,13
14,0,1,8,6,1,0,6,8,1,1,14,14
15,1,0,9,6,1,0,7,8,2,0,16,14
16,1,0,10,6,0,1,7,9,1,1,17,15
17,1,0,11,6,0,1,7,10,1,1,18,16
18,0,1,11,7,0,1,7,11,0,2,18,18
19,0,1,11,8,0,1,7,12,0,2,18,20
20,0,1,11,9,0,1,7,13,0,2,18,22
21,1,0,12,9,1,0,8,13,2,0,20,22
22,1,0,13,9,0,1,8,14,1,1,21,23
23,0,1,13,10,1,0,9,14,1,1,22,24
24,1,0,14,10,0,1,9,15,1,1,23,25
25,0,1,14,11,1,0,10,15,1,1,24,26
26,0,1,14,12,0,1,10,16,0,2,24,28
27,1,0,15,12,1,0,11,16,2,0,26,28
28,1,0,16,12,0,1,11,17,1,1,27,29
29,0,1,16,13,1,0,12,17,1,1,28,30
30,0,1,16,14,0,1,12,18,0,2,28,32
31,0,1,16,15,1,0,13,18,1,1,29,33
32,1,0,17,15,0,1,13,19,1,1,30,34
33,1,0,18,15,0,1,13,20,1,1,31,35
34,1,0,19,15,0,1,13,21,1,1,32,36
35,0,1,19,16,0,1,13,22,0,2,32,38
36,1,0,20,16,0,1,13,23,1,1,33,39
37,0,1,20,17,1,0,14,23,1,1,34,40
38,0,1,20,18,0,1,14,24,0,2,34,42
39,1,0,21,18,1,0,15,24,2,0,36,42
40,0,1,21,19,0,1,15,25,0,2,36,44
41,0,1,21,20,0,1,15,26,0,2,36,46
42,0,1,21,21,1,0,16,26,1,1,37,47
43,0,1,21,22,1,0,17,26,1,1,38,48
44,1,0,22,22,0,1,17,27,1,1,39,49
45,0,1,22,23,0,1,17,28,0,2,39,51
46,1,0,23,23,0,1,17,29,1,1,40,52
47,1,0,24,23,1,0,18,29,2,0,42,52
48,0,1,24,24,1,0,19,29,1,1,43,53
49,1,0,25,24,0,1,19,30,1,1,44,54
50,0,1,25,25,0,1,19,31,0,2,44,56
51,0,1,25,26,1,0,20,31,1,1,45,57
52,0,1,25,27,1,0,21,31,1,1,46,58
53,1,0,26,27,1,0,22,31,2,0,48,58
54,1,0,27,27,1,0,23,31,2,0,50,58
55,0,1,27,28,0,1,23,32,0,2,50,60
56,0,1,27,29,0,1,23,33,0,2,50,62
57,0,1,27,30,1,0,24,33,1,1,51,63
58,1,0,28,30,1,0,25,33,2,0,53,63
59,1,0,29,30,0,1,25,34,1,1,54,64
60,0,1,29,31,0,1,25,35,0,2,54,66
61,1,0,30,31,1,0,26,35,2,0,56,66
62,1,0,31,31,1,0,27,35,2,0,58,66
63,0,1,31,32,0,1,27,36,0,2,58,68
64,0,1,31,33,0,1,27,37,0,2,58,70
65,0,1,31,34,1,0,28,37,1,1,59,71
66,1,0,32,34,1,0,29,37,2,0,61,71
67,0,1,32,35,1,0,30,37,1,1,62,72
68,0,1,32,36,0,1,30,38,0,2,62,74
69,0,1,32,37,1,0,31,38,1,1,63,75
70,1,0,33,37,0,1,31,39,1,1,64,76
71,1,0,34,37,0,1,31,40,1,1,65,77
72,0,1,34,38,0,1,31,41,0,2,65,79
73,1,0,35,38,1,0,32,41,2,0,67,79
74,1,0,36,38,0,1,32,42,1,1,68,80
75,0,1,36,39,0,1,32,43,0,2,68,82
76,1,0,37,39,1,0,33,43,2,0,70,82
77,1,0,38,39,0,1,33,44,1,1,71,83
78,1,0,39,39,0,1,33,45,1,1,72,84
79,0,1,39,40,1,0,34,45,1,1,73,85
80,0,1,39,41,0,1,34,46,0,2,73,87
81,0,1,39,42,1,0,35,46,1,1,74,88
82,0,1,39,43,1,0,36,46,1,1,75,89
83,1,0,40,43,1,0,37,46,2,0,77,89
84,0,1,40,44,0,1,37,47,0,2,77,91
85,0,1,40,45,0,1,37,48,0,2,77,93
86,0,1,40,46,0,1,37,49,0,2,77,95
87,0,1,40,47,1,0,38,49,1,1,78,96
88,1,0,41,47,1,0,39,49,2,0,80,96
89,0,1,41,48,0,1,39,50,0,2,80,98
90,1,0,42,48,0,1,39,51,1,1,81,99
91,0,1,42,49,1,0,40,51,1,1,82,100
92,0,1,42,50,1,0,41,51,1,1,83,101
93,1,0,43,50,1,0,42,51,2,0,85,101
94,1,0,44,50,1,0,43,51,2,0,87,101
95,0,1,44,51,1,0,44,51,1,1,88,102
96,0,1,44,52,1,0,45,51,1,1,89,103
97,1,0,45,52,0,1,45,52,1,1,90,104
98,0,1,45,53,1,0,46,52,1,1,91,105
99,1,0,46,53,1,0,47,52,2,0,93,105
100,0,1,46,54,1,0,48,52,1,1,94,106
