#Flips,5A-H,5A-T,5A-CH,5A-CT,10A-H,10A-T,10A-CH,10A-CT
1,1,0,1,0,1,0,1,0
2,0,1,1,1,1,0,2,0
3,1,0,2,1,0,1,2,1
4,0,1,2,2,1,0,3,1
5,1,0,3,2,0,1,3,2
6,1,0,4,2,0,1,3,3
7,0,1,4,3,0,1,3,4
8,0,1,4,4,0,1,3,5
9,1,0,5,4,1,0,4,5
10,1,0,6,4,1,0,5,5
11,0,1,6,5,0,1,5,6
12,1,0,7,5,0,1,5,7
13,1,0,8,5,1,0,6,7
14,1,0,9,5,0,1,6,8
15,0,1,9,6,1,0,7,8
16,0,1,9,7,1,0,8,8
17,0,1,9,8,0,1,8,9
18,1,0,10,8,0,1,8,10
19,0,1,10,9,0,1,8,11
20,1,0,11,9,1,0,9,11
21,0,1,11,10,1,0,10,11
22,1,0,12,10,1,0,11,11
23,0,1,12,11,1,0,12,11
24,0,1,12,12,1,0,13,11
25,0,1,12,13,1,0,14,11
26,1,0,13,13,1,0,15,11
27,1,0,14,13,1,0,16,11
28,0,1,14,14,1,0,17,11
29,0,1,14,15,1,0,18,11
30,0,1,14,16,1,0,19,11
31,0,1,14,17,0,1,19,12
32,0,1,14,18,1,0,20,12
33,0,1,14,19,1,0,21,12
34,0,1,14,20,0,1,21,13
35,0,1,14,21,0,1,21,14
36,0,1,14,22,0,1,21,15
37,0,1,14,23,0,1,21,16
38,0,1,14,24,1,0,22,16
39,1,0,15,24,0,1,22,17
40,0,1,15,25,0,1,22,18
41,1,0,16,25,0,1,22,19
42,1,0,17,25,1,0,23,19
43,1,0,18,25,0,1,23,20
44,0,1,18,26,1,0,24,20
45,1,0,19,26,1,0,25,20
46,0,1,19,27,0,1,25,21
47,0,1,19,28,1,0,26,21
48,1,0,20,28,1,0,27,21
49,0,1,20,29,0,1,27,22
50,0,1,20,30,0,1,27,23
51,1,0,21,30,1,0,28,23
52,1,0,22,30,1,0,29,23
53,1,0,23,30,0,1,29,24
54,1,0,24,30,1,0,30,24
55,0,1,24,31,0,1,30,25
56,0,1,24,32,0,1,30,26
57,1,0,25,32,1,0,31,26
58,1,0,26,32,1,0,32,26
59,0,1,26,33,0,1,32,27
60,1,0,27,33,0,1,32,28
61,1,0,28,33,0,1,32,29
62,1,0,29,33,1,0,33,29
63,1,0,30,33,0,1,33,30
64,0,1,30,34,1,0,34,30
65,1,0,31,34,0,1,34,31
66,1,0,32,34,0,1,34,32
67,0,1,32,35,1,0,35,32
68,1,0,33,35,1,0,36,32
69,0,1,33,36,1,0,37,32
70,0,1,33,37,0,1,37,33
71,1,0,34,37,0,1,37,34
72,1,0,35,37,1,0,38,34
73,0,1,35,38,1,0,39,34
74,1,0,36,38,0,1,39,35
75,0,1,36,39,0,1,39,36
76,0,1,36,40,1,0,40,36
77,0,1,36,41,1,0,41,36
78,0,1,36,42,0,1,41,37
79,1,0,37,42,0,1,41,38
80,1,0,38,42,0,1,41,39
81,1,0,39,42,1,0,42,39
82,1,0,40,42,0,1,42,40
83,0,1,40,43,1,0,43,40
84,1,0,41,43,0,1,43,41
85,0,1,41,44,0,1,43,42
86,0,1,41,45,1,0,44,42
87,1,0,42,45,0,1,44,43
88,0,1,42,46,1,0,45,43
89,0,1,42,47,0,1,45,44
90,1,0,43,47,0,1,45,45
91,0,1,43,48,1,0,46,45
92,1,0,44,48,0,1,46,46
93,0,1,44,49,0,1,46,47
94,1,0,45,49,0,1,46,48
95,0,1,45,50,0,1,46,49
96,1,0,46,50,1,0,47,49
97,0,1,46,51,1,0,48,49
98,1,0,47,51,1,0,49,49
99,1,0,48,51,1,0,50,49
100,1,0,49,51,0,1,50,50
