#Toss,5B-H,5B-T,5B-CH,5B-CT,1B-H,1B-T,1B-CH,1B-CT,20B-H,20B-T,20B-CH,20B-CT
1,1,0,1,0,0,1,0,1,0,1,0,1
2,0,1,1,1,0,1,0,2,0,1,0,2
3,1,0,2,1,1,0,1,2,1,0,1,2
4,1,0,3,1,1,0,2,2,1,0,2,2
5,1,0,4,1,0,1,2,3,1,0,3,2
6,0,1,4,2,1,0,3,3,1,0,4,2
7,0,1,4,3,0,1,3,4,0,1,4,3
8,1,0,5,3,1,0,4,4,0,1,4,4
9,1,0,6,3,1,0,5,4,0,1,4,5
10,0,1,6,4,0,1,5,5,0,1,4,6
11,1,0,7,4,0,1,5,6,1,0,5,6
12,1,0,8,4,1,0,6,6,1,0,6,6
13,0,1,8,5,1,0,7,6,1,0,7,6
14,0,1,8,6,1,0,8,6,0,1,7,7
15,1,0,9,6,0,1,8,7,0,1,7,8
16,1,0,10,6,0,1,8,8,0,1,7,9
17,0,1,10,7,0,1,8,9,0,1,7,10
18,1,0,11,7,1,0,9,9,0,1,7,11
19,1,0,12,7,1,0,10,9,1,0,8,11
20,0,1,12,8,1,0,11,9,1,0,9,11
21,0,1,12,9,0,1,11,10,1,0,10,11
22,0,1,12,10,1,0,12,10,0,1,10,12
23,1,0,13,10,0,1,12,11,0,1,10,13
24,1,0,14,10,0,1,12,12,0,1,10,14
25,0,1,14,11,1,0,13,12,0,1,10,15
26,0,1,14,12,1,0,14,12,1,0,11,15
27,1,0,15,12,0,1,14,13,1,0,12,15
28,1,0,16,12,0,1,14,14,1,0,13,15
29,0,1,16,13,0,1,14,15,0,1,13,16
30,0,1,16,14,1,0,15,15,0,1,13,17
31,1,0,17,14,1,0,16,15,0,1,13,18
32,0,1,17,15,1,0,17,15,1,0,14,18
33,1,0,18,15,0,1,17,16,0,1,14,19
34,0,1,18,16,1,0,18,16,0,1,14,20
35,0,1,18,17,1,0,19,16,0,1,14,21
36,0,1,18,18,0,1,19,17,1,0,15,21
37,0,1,18,19,0,1,19,18,1,0,16,21
38,1,0,19,19,0,1,19,19,0,1,16,22
39,1,0,20,19,1,0,20,19,0,1,16,23
40,0,1,20,20,1,0,21,19,0,1,16,24
41,0,1,20,21,1,0,22,19,1,0,17,24
42,1,0,21,21,1,0,23,19,1,0,18,24
43,1,0,22,21,0,1,23,20,1,0,19,24
44,1,0,23,21,0,1,23,21,0,1,19,25
45,1,0,24,21,1,0,24,21,0,1,19,26
46,0,1,24,22,1,0,25,21,1,0,20,26
47,0,1,24,23,0,1,25,22,0,1,20,27
48,0,1,24,24,0,1,25,23,0,1,20,28
49,1,0,25,24,0,1,25,24,0,1,20,29
50,1,0,26,24,1,0,26,24,1,0,21,29
51,0,1,26,25,1,0,27,24,1,0,22,29
52,0,1,26,26,0,1,27,25,0,1,22,30
53,1,0,27,26,1,0,28,25,0,1,22,31
54,1,0,28,26,1,0,29,25,0,1,22,32
55,0,1,28,27,0,1,29,26,0,1,22,33
56,0,1,28,28,1,0,30,26,0,1,22,34
57,1,0,29,28,1,0,31,26,1,0,23,34
58,1,0,30,28,1,0,32,26,1,0,24,34
59,1,0,31,28,1,0,33,26,0,1,24,35
60,0,1,31,29,0,1,33,27,0,1,24,36
61,0,1,31,30,0,1,33,28,0,1,24,37
62,0,1,31,31,0,1,33,29,0,1,24,38
63,1,0,32,31,1,0,34,29,0,1,24,39
64,0,1,32,32,1,0,35,29,0,1,24,40
65,0,1,32,33,1,0,36,29,0,1,24,41
66,1,0,33,33,1,0,37,29,0,1,24,42
67,1,0,34,33,0,1,37,30,0,1,24,43
68,1,0,35,33,0,1,37,31,0,1,24,44
69,0,1,35,34,0,1,37,32,1,0,25,44
70,0,1,35,35,1,0,38,32,1,0,26,44
71,0,1,35,36,0,1,38,33,0,1,26,45
72,1,0,36,36,0,1,38,34,1,0,27,45
73,0,1,36,37,0,1,38,35,0,1,27,46
74,0,1,36,38,1,0,39,35,0,1,27,47
75,0,1,36,39,1,0,40,35,0,1,27,48
76,0,1,36,40,0,1,40,36,0,1,27,49
77,0,1,36,41,0,1,40,37,0,1,27,50
78,1,0,37,41,1,0,41,37,0,1,27,51
79,1,0,38,41,1,0,42,37,1,0,28,51
80,0,1,38,42,0,1,42,38,1,0,29,51
81,0,1,38,43,0,1,42,39,1,0,30,51
82,0,1,38,44,0,1,42,40,0,1,30,52
83,0,1,38,45,0,1,42,41,0,1,30,53
84,1,0,39,45,1,0,43,41,0,1,30,54
85,1,0,40,45,1,0,44,41,1,0,31,54
86,1,0,41,45,1,0,45,41,1,0,32,54
87,0,1,41,46,0,1,45,42,1,0,33,54
88,0,1,41,47,0,1,45,43,0,1,33,55
89,0,1,41,48,1,0,46,43,0,1,33,56
90,0,1,41,49,0,1,46,44,0,1,33,57
91,1,0,42,49,1,0,47,44,0,1,33,58
92,1,0,43,49,1,0,48,44,1,0,34,58
93,0,1,43,50,0,1,48,45,1,0,35,58
94,0,1,43,51,0,1,48,46,0,1,35,59
95,1,0,44,51,1,0,49,46,1,0,36,59
96,1,0,45,51,0,1,49,47,1,0,37,59
97,1,0,46,51,0,1,49,48,1,0,38,59
98,0,1,46,52,1,0,50,48,0,1,38,60
99,1,0,47,52,1,0,51,48,0,1,38,61
100,1,0,48,52,0,1,51,49,0,1,38,62
